field,ra,dec
HYDRA-0011,150.7708333,-23.90861111
HYDRA-0012,152.3083333,-23.90861111
HYDRA-0013,153.8458333,-23.90861111
HYDRA-0014,155.3833333,-23.90861111
HYDRA-0015,156.925,-23.90861111
HYDRA-0016,158.4625,-23.90861111
HYDRA-0017,160.0,-23.90861111
HYDRA-0018,161.5375,-23.90861111
HYDRA-0019,163.075,-23.90861111
HYDRA-0020,164.6166667,-23.90861111
HYDRA-0021,151.1708333,-25.30027778
HYDRA-0022,152.7291667,-25.30027778
HYDRA-0023,154.2875,-25.30027778
HYDRA-0024,155.8458333,-25.30027778
HYDRA-0025,157.4041667,-25.30027778
HYDRA-0026,158.9625,-25.30027778
HYDRA-0027,160.5208333,-25.30027778
HYDRA-0028,162.0791667,-25.30027778
HYDRA-0029,163.6375,-25.30027778
HYDRA-0030,150.0,-26.68972222
HYDRA-0031,151.5791667,-26.68972222
HYDRA-0032,153.1583333,-26.68972222
HYDRA-0033,154.7375,-26.68972222
HYDRA-0034,156.3166667,-26.68972222
HYDRA-0035,157.8958333,-26.68972222
HYDRA-0036,159.475,-26.68972222
HYDRA-0037,161.0541667,-26.68972222
HYDRA-0038,162.6333333,-26.68972222
HYDRA-0039,164.2125,-26.68972222
HYDRA-0040,151.3291667,-28.07722222
HYDRA-0041,152.9208333,-28.07722222
HYDRA-0042,154.5125,-28.07722222
HYDRA-0043,156.1041667,-28.07722222
HYDRA-0044,157.7,-28.07722222
HYDRA-0045,159.2916667,-28.07722222
HYDRA-0046,160.8833333,-28.07722222
HYDRA-0047,162.4791667,-28.07722222
HYDRA-0048,164.0708333,-28.07722222
HYDRA-0049,150.1333333,-29.46305556
HYDRA-0050,151.75,-29.46305556
HYDRA-0051,153.3625,-29.46305556
HYDRA-0052,154.9791667,-29.46305556
HYDRA-0053,156.5916667,-29.46305556
HYDRA-0054,158.2083333,-29.46305556
HYDRA-0055,159.8208333,-29.46305556
HYDRA-0056,161.4333333,-29.46305556
HYDRA-0057,163.05,-29.46305556
HYDRA-0058,164.6625,-29.46305556
HYDRA-0059,150.5458333,-30.84722222
HYDRA-0060,152.1833333,-30.84722222
HYDRA-0061,153.8166667,-30.84722222
HYDRA-0062,155.4541667,-30.84722222
HYDRA-0063,157.0916667,-30.84722222
HYDRA-0064,158.7291667,-30.84722222
HYDRA-0065,160.3625,-30.84722222
HYDRA-0066,162.0,-30.84722222
HYDRA-0067,163.6375,-30.84722222
HYDRA-0068,150.9666667,-32.22916667
HYDRA-0069,152.625,-32.22916667
HYDRA-0070,154.2875,-32.22916667
HYDRA-0071,155.9458333,-32.22916667
HYDRA-0072,157.6041667,-32.22916667
HYDRA-0073,159.2625,-32.22916667
HYDRA-0074,160.9208333,-32.22916667
HYDRA-0075,162.5791667,-32.22916667
HYDRA-0076,164.2416667,-32.22916667
HYDRA-0077,150.4208333,-33.60916667
HYDRA-0078,152.1125,-33.60916667
HYDRA-0079,153.8041667,-33.60916667
HYDRA-0080,155.4916667,-33.60916667
HYDRA-0081,157.1833333,-33.60916667
HYDRA-0082,158.875,-33.60916667
HYDRA-0083,160.5625,-33.60916667
HYDRA-0084,162.2541667,-33.60916667
HYDRA-0085,163.9416667,-33.60916667
HYDRA-0086,150.8583333,-34.98666667
HYDRA-0087,152.5708333,-34.98666667
HYDRA-0088,154.2875,-34.98666667
HYDRA-0089,156.0,-34.98666667
HYDRA-0091,159.4291667,-34.98666667
HYDRA-0092,161.1416667,-34.98666667
HYDRA-0093,162.8583333,-34.98666667
HYDRA-0094,164.5708333,-34.98666667
HYDRA-0095,151.3041667,-36.3625
HYDRA-0096,153.0416667,-36.3625
HYDRA-0097,154.7833333,-36.3625
HYDRA-0098,156.5208333,-36.3625
HYDRA-0099,158.2625,-36.3625
HYDRA-0100,160.0,-36.3625
HYDRA-0101,161.7375,-36.3625
HYDRA-0102,163.4791667,-36.3625
HYDRA-0103,150.7375,-37.73611111
HYDRA-0104,152.5125,-37.73611111
HYDRA-0105,154.2875,-37.73611111
HYDRA-0106,156.0583333,-37.73611111
HYDRA-0107,157.8333333,-37.73611111
HYDRA-0108,159.6041667,-37.73611111
HYDRA-0109,161.3791667,-37.73611111
HYDRA-0110,163.1541667,-37.73611111
HYDRA-0111,164.925,-37.73611111
HYDRA-0112,150.15,-39.10722222
HYDRA-0113,151.9583333,-39.10722222
HYDRA-0114,153.7708333,-39.10722222
HYDRA-0115,155.5791667,-39.10722222
HYDRA-0116,157.3875,-39.10722222
HYDRA-0117,159.1958333,-39.10722222
HYDRA-0118,161.0041667,-39.10722222
HYDRA-0119,162.8125,-39.10722222
HYDRA-0120,164.625,-39.10722222
HYDRA-0121,151.3833333,-40.47611111
HYDRA-0122,153.2291667,-40.47611111
HYDRA-0123,155.075,-40.47611111
HYDRA-0124,156.925,-40.47611111
