OGLE,Ori,DC,DDC,Nou,Mass,Group
lmc_sc1_124756,P,0.411,1.0,1.035,0.0,1
lmc_sc1_124784,P,0.709,1.0,0.311,0.0,1
lmc_sc1_124845,E,0.473,0.979,0.569,13.6,3
lmc_sc1_143809,P,0.473,0.92,0.762,10.3,3
lmc_sc1_143832,P,0.173,0.924,0.207,15.5,3
lmc_sc1_143844,P,0.496,0.991,1.967,16.7,2
lmc_sc1_151034,P,0.444,0.884,1.501,8.0,3
lmc_sc1_151200,P,0.795,1.0,0.362,0.0,1
lmc_sc1_158241,P,0.492,1.0,0.725,0.0,1
lmc_sc1_164770,P,0.135,0.83,0.052,3.1,3
lmc_sc1_169938,P,0.693,1.0,0.311,0.0,1
lmc_sc1_170211,P,0.524,1.0,0.623,0.0,1
lmc_sc1_192011,P,0.143,0.952,0.88,0.0,1
lmc_sc1_201726,P,0.657,1.0,0.311,0.0,1
lmc_sc1_223113,P,0.217,0.813,0.776,9.7,3
lmc_sc1_229472,P,0.412,1.0,0.155,0.0,1
lmc_sc1_235810,P,0.458,1.0,0.569,0.0,1
lmc_sc1_248039,P,0.676,0.959,0.518,4.6,3
lmc_sc1_252759,U,0.28,1.0,0.828,0.0,1
lmc_sc1_252841,P,0.211,0.519,1.139,5.0,3
lmc_sc1_335489,P,0.258,0.809,0.207,5.0,3
lmc_sc1_340157,P,0.834,1.0,0.362,0.0,1
lmc_sc1_340178,P,0.335,0.888,1.19,0.0,1
lmc_sc1_340196,P,0.586,1.0,0.776,0.0,1
lmc_sc1_44726,P,0.188,1.0,0.363,0.0,1
lmc_sc1_51944,P,0.495,1.0,0.725,0.0,1
lmc_sc1_59562,P,0.54,0.91,0.269,0.0,1
lmc_sc1_60022,P,0.828,1.0,0.104,0.0,1
lmc_sc1_66546,P,0.663,1.0,0.207,0.0,1
lmc_sc1_73155,P,0.712,1.0,0.362,0.0,1
lmc_sc1_791,P,0.155,0.946,0.155,7.4,3
lmc_sc1_90123,P,0.732,1.0,0.311,0.0,1
lmc_sc1_90124,P,0.425,0.936,0.569,15.9,3
lmc_sc1_9242,P,0.017,0.646,0.155,0.0,1
lmc_sc1_94988,P,0.19,1.0,0.052,0.0,1
lmc_sc1_98725,P,0.4,1.0,1.242,0.0,1
lmc_sc2_103618,P,0.751,1.0,0.466,0.0,1
lmc_sc2_103644,P,0.805,1.0,0.88,0.0,1
lmc_sc2_103695,P,0.344,0.962,0.155,0.0,1
lmc_sc2_103787,P,0.575,0.771,0.362,0.0,1
