ra,dec,OGLE-II,OGLE-III,OGLE-IV,Offset,RemOut
83.31325,-70.36894,LMC_SC1_108086,LMC170.3.21,LMC516.04.19670,53,
83.44342,-70.33486,LMC_SC1_113297,LMC170.3.73425,LMC516.04.19664,A,13.0
83.40288,-70.16544,LMC_SC1_124623,LMC170.4.81503,LMC516.12.2,A,19.0
83.32333,-70.20175,LMC_SC1_124756,LMC170.4.64358,LMC516.12.274,A,2.0
83.31079,-70.18892,LMC_SC1_124784,LMC170.4.64070,LMC516.12.324,12,
83.30254,-70.16481,LMC_SC1_124845,LMC170.4.64064,LMC516.12.413,15,
83.33104,-70.09783,LMC_SC1_136951,LMC169.1.16837,LMC516.12.12288,26,
83.33754,-70.10039,LMC_SC1_136999,LMC169.1.16867,LMC516.12.12344,A,14.0
83.25717,-70.37517,LMC_SC1_14210,LMC170.3.15,LMC516.04.19669,21,
83.16358,-70.3545,LMC_SC1_14373,LMC170.6.112550,LMC516.04.64676,A,5.0
83.37517,-69.99631,LMC_SC1_143809,LMC169.1.80878,LMC516.12.27257,A,8.0
83.34987,-70.03439,LMC_SC1_143832,LMC169.1.80968,LMC516.12.27326,M,5.0
83.3245,-70.02289,LMC_SC1_143844,LMC169.1.80861,LMC516.12.27237,0,
83.425,-70.00894,LMC_SC1_143863,LMC169.1.80898,LMC516.12.27370,A,10.0
83.14554,-70.34114,LMC_SC1_14404,LMC170.6.112874,LMC516.04.64720,A,21.0
83.41292,-69.93975,LMC_SC1_151021,LMC169.2.19402,LMC516.12.42740,1,
83.43042,-69.93136,LMC_SC1_151034,LMC169.2.19574,LMC516.12.42864,0,
83.36267,-69.92875,LMC_SC1_151200,LMC169.2.19513,LMC516.12.42870,22,
83.39625,-69.86794,LMC_SC1_158241,LMC169.2.91905,LMC516.21.130,A,2.0
83.38829,-69.83567,LMC_SC1_164770,LMC169.3.17823,LMC516.21.12265,5,
83.42288,-69.80158,LMC_SC1_169938,LMC169.3.16700,LMC516.21.11683,A,2.0
83.37317,-69.76761,LMC_SC1_169961,LMC169.3.16645,LMC516.21.24596,A,17.0
83.43154,-69.79928,LMC_SC1_170211,LMC169.3.17098,LMC516.21.12631,13,
83.28833,-69.68978,LMC_SC1_179817,LMC169.3.61422,LMC516.21.36500,14,
83.49992,-70.42111,LMC_SC1_191943,LMC170.3.14378,LMC516.03.49991,21,
83.48942,-70.45464,LMC_SC1_192011,LMC170.2.60367,LMC516.03.50023,M,10.0
83.6205,-70.29131,LMC_SC1_201726,LMC170.3.73503,LMC516.03.73678,2,
83.60971,-70.15008,LMC_SC1_217408,LMC170.4.81536,LMC516.11.59402,15,
83.47612,-70.13,LMC_SC1_217564,LMC169.1.17315,LMC516.11.59678,12,
83.56621,-70.05631,LMC_SC1_223113,LMC169.1.98773,LMC516.11.73851,16,
83.54633,-70.0405,LMC_SC1_229472,LMC169.1.98768,LMC516.11.73786,M,9.0
83.51967,-69.97583,LMC_SC1_235761,LMC169.2.39051,LMC516.11.88621,A,13.0
83.50883,-69.98317,LMC_SC1_235810,LMC169.2.19442,LMC516.11.88719,3,
83.47325,-69.86278,LMC_SC1_248039,LMC169.2.91966,LMC516.20.40474,13,
83.53612,-69.75317,LMC_SC1_252759,LMC169.3.93648,LMC516.20.63075,12,
83.49154,-69.78711,LMC_SC1_252841,LMC169.3.17177,LMC516.20.51533,A,0.0
83.59196,-69.73608,LMC_SC1_257438,LMC169.3.93670,LMC516.20.63086,A,6.0
83.61312,-69.71681,LMC_SC1_257458,LMC169.3.93679,LMC516.20.63196,M,15.0
83.78629,-70.55531,LMC_SC1_266514,LMC170.2.24180,LMC515.28.58027,27,
83.69317,-70.36394,LMC_SC1_280022,LMC170.3.29064,LMC516.03.18360,A,10.0
83.65262,-69.99428,LMC_SC1_312837,LMC169.1.98949,LMC516.11.73965,14,
83.66988,-69.98931,LMC_SC1_312968,LMC169.2.39289,LMC516.11.88822,8,
83.22146,-70.18497,LMC_SC1_31538,LMC170.4.63850,LMC516.12.55529,23,
83.27867,-70.18733,LMC_SC1_31615,LMC170.4.64032,LMC516.12.133,A,8.0
83.771,-69.78467,LMC_SC1_335489,LMC169.3.47595,LMC516.20.10631,16,
83.69429,-69.74406,LMC_SC1_340157,LMC169.3.93708,LMC516.20.21127,9,
83.63942,-69.707,LMC_SC1_340178,LMC169.3.93689,LMC516.20.63103,M,0.0
83.74717,-69.74403,LMC_SC1_340196,LMC169.3.108922,LMC516.20.21126,11,
83.64062,-69.73486,LMC_SC1_340306,LMC169.3.93805,LMC516.20.63367,A,0.0
83.17721,-70.15942,LMC_SC1_37892,LMC170.5.130391,LMC516.12.55719,3,
83.24942,-70.12653,LMC_SC1_37941,LMC169.1.226,LMC516.12.12428,M,24.0
83.15542,-70.07511,LMC_SC1_44630,LMC169.1.14,LMC516.12.68992,25,
83.25738,-70.075,LMC_SC1_44726,LMC169.1.231,LMC516.12.12513,A,10.0
83.23429,-70.08597,LMC_SC1_44805,LMC169.1.525,LMC516.12.12737,A,13.0
83.15917,-70.00183,LMC_SC1_51944,LMC169.1.62302,LMC516.12.86016,M,12.0
83.26904,-70.04264,LMC_SC1_51969,LMC169.1.62743,LMC516.12.27516,4,
83.21146,-69.99258,LMC_SC1_52114,LMC169.1.62333,LMC516.12.102666,A,7.0
83.15492,-70.00369,LMC_SC1_53565,LMC169.1.63364,LMC516.12.89579,17,
83.16662,-69.96936,LMC_SC1_59257,LMC169.2.16,LMC516.12.102509,A,17.0
83.16979,-69.95497,LMC_SC1_59479,LMC169.2.459,LMC516.12.102840,A,4.0
83.26479,-69.92903,LMC_SC1_59562,LMC169.2.2223,LMC516.12.43155,A,16.0
83.26342,-69.93114,LMC_SC1_60022,LMC169.2.648,LMC516.12.43818,M,15.0
83.23783,-69.89903,LMC_SC1_66546,LMC169.2.73657,LMC516.21.90,10,
83.13662,-69.87653,LMC_SC1_67127,LMC169.2.73807,LMC516.21.46200,8,
83.26862,-69.84294,LMC_SC1_73155,LMC169.2.73684,LMC516.21.11873,8,
83.18825,-69.84808,LMC_SC1_73390,LMC169.2.73924,LMC516.21.57927,A,16.0
83.15529,-69.81111,LMC_SC1_74749,LMC169.3.1020,LMC516.21.60097,A,28.0
83.15162,-70.55542,LMC_SC1_791,LMC170.7.36396,LMC515.30.24502,M,9.0
83.13254,-69.65039,LMC_SC1_90119,LMC169.4.43,LMC516.21.83422,14,
83.27483,-69.64697,LMC_SC1_90123,LMC169.4.203,LMC516.21.36604,12,
83.26908,-69.6465,LMC_SC1_90124,LMC169.4.82,LMC516.21.36533,29,
83.14783,-70.45022,LMC_SC1_9242,LMC170.7.85862,LMC516.04.52519,M,17.0
83.40508,-70.51781,LMC_SC1_94988,LMC170.2.12201,LMC516.04.180,12,
83.32454,-70.49808,LMC_SC1_98725,LMC170.2.46754,LMC516.04.34,0,
82.63942,-69.49469,LMC_SC2_103589,LMC168.8.27444,LMC516.30.47287,5,
82.50529,-69.46942,LMC_SC2_103618,LMC168.8.64491,LMC516.31.9910,8,
82.65121,-69.48731,LMC_SC2_103644,LMC168.8.27476,LMC516.30.47320,8,
82.62362,-69.51008,LMC_SC2_103695,LMC168.8.27665,LMC516.30.47509,A,14.0
82.52142,-69.47742,LMC_SC2_103770,LMC168.8.64812,LMC516.31.10182,M,10.0
82.58983,-69.47144,LMC_SC2_103787,LMC168.8.77202,LMC516.30.47643,10,
82.60133,-69.50839,LMC_SC2_104376,LMC168.8.28797,LMC516.30.48838,16,
