Unnamed: 0.1,Unnamed: 0,id_x,ra_meus,dec_meus,parallax,gaia_ruwe,gaia_parallax_over_error,gaia_classprob_dsc_combmod_star,gaia_in_qso_candidates,gaia_in_galaxy_candidates,gaia_phot_bp_rp_excess_factor,err_mag_psf_u,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_g,err_mag_psf_j0515,err_mag_psf_r,err_mag_psf_j0660,err_mag_psf_i,err_mag_psf_j0861,err_mag_psf_z,mag_psf_u_meus,mag_psf_j0378_meus,mag_psf_j0395_meus,mag_psf_j0410_meus,mag_psf_j0430_meus,mag_psf_g_meus,mag_psf_j0515_meus,mag_psf_r_meus,mag_psf_j0660_meus,mag_psf_i_meus,mag_psf_j0861_meus,mag_psf_z_meus,ri,rJ0660,delta_Ha,thr,panel_label,excess,main_type,main_id,size_angle,splus_idr6_id,id_y,mu_max_u,mu_max_g,mu_max_r,mu_max_i,mu_max_z,mu_max_j0378,mu_max_j0395,mu_max_j0410,mu_max_j0430,mu_max_j0515,mu_max_j0660,mu_max_j0861,upload_ra,upload_dec,upload_splus_idr6_id,id_meus,mu_background_g,mu_background_i,mu_background_j0378,mu_background_j0395,mu_background_j0410,mu_background_j0430,mu_background_j0515,mu_background_j0660,mu_background_j0861,mu_background_r,mu_background_u,mu_background_z,flags_det,flags_g,flags_i,flags_j0378,flags_j0395,flags_j0410,flags_j0430,flags_j0515,flags_j0660,flags_j0861,flags_r,flags_u,flags_z,r_i,r_j0660,j0515_j0660,j0660_i,j0660_j0861,u_j0378,j0378_j0410,g_r,j0395_j0410,i_j0861,j0515_r,j0430_g,gaia_source_id,id_pne,ra_pne,dec_pne,mag_psf_g_pne,mag_psf_i_pne,mag_psf_j0378_pne,mag_psf_j0395_pne,mag_psf_j0410_pne,mag_psf_j0430_pne,mag_psf_j0515_pne,mag_psf_j0660_pne,mag_psf_j0861_pne,mag_psf_r_pne,mag_psf_u_pne,mag_psf_z_pne,Name,_RAJ2000,_DEJ2000,SpType
483,463,b'i06MC0029009TH',70.23615,-67.800575,-0.09068846,1.2853436,-1.185807,1.5943215e-05,1,1,1.4757745,0.0094135,0.012527407,0.02174285,0.020898057,0.01861837,0.0054049245,0.017620143,0.0053971102,0.0037177568,0.008505905,0.023180448,0.021203531,16.721159,16.543528,16.895248,17.002964,16.96328,17.003805,17.12323,17.089504,15.630758,17.647999,17.844576,17.745361,-0.5584945678710938,1.4587459564208984,1.6409235391076935,0.059817900455389,r ≤ 18,1.7379935000000015,PlanetaryNeb,SMP LMC   2,0.0,i06MC0029009TH,i06MC0029009TH,,,,,,,,,,,,,70.23615,-67.800575,i06MC0029009TH,i06MC0029009TH,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5584949999999971,1.4587460000000014,1.4924719999999994,-2.0172409999999985,-2.213818,0.1776310000000016,-0.4594360000000002,-0.0856990000000017,-0.1077159999999999,-0.1965770000000013,0.0337259999999979,-0.0405249999999988,4656409929503725824,i06MC0029009TH,70.2361490500323,-67.80057615159507,17.003805866241454,17.647998191833498,16.543527267456053,16.895248247146608,17.002963850021363,16.96327910423279,17.123230653762818,15.630758083343505,17.844575582504273,17.08950461959839,16.72115875053406,17.745361518859863,LMC-SMP 2      ,70.2362083,-67.8006028,                                  
1088,1050,b'i06MC011302J5N',5.9945154,-73.63443,-0.026267318,1.4020371,-0.45943645,0.96213967,1,0,1.2351619,0.010174915,0.013280802,0.020151153,0.019261988,0.01587458,0.005283603,0.017286712,0.004425247,0.0018426011,0.0074346196,0.015921421,0.011648102,17.09286,17.137276,17.218578,17.351942,17.14065,16.667686,17.58243,16.46617,14.371491,17.232632,17.485434,17.36933,-0.7664623260498047,2.094677925109864,2.351172125143076,0.045632906221097,r ≤ 18,2.47791,PlanetaryNeb,LHA 115-N   1,125.0,i06MC011302J5N,i06MC011302J5N,,,,,,,,,,,,,5.9945154,-73.63443,i06MC011302J5N,i06MC011302J5N,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.7664619999999971,2.094679000000001,3.210938999999998,-2.861140999999998,-3.113943000000001,-0.0444159999999982,-0.2146660000000011,0.201515999999998,-0.1333640000000002,-0.2528020000000026,1.116259999999997,0.472964000000001,4688488730998034816,i06MC011302J5N,5.994515322833119,-73.63443270669086,16.667686935424804,17.232632011413575,17.137276556015014,17.218579088211058,17.351942472457885,17.14064989089966,17.582429670333863,14.371491397857667,17.485433689117432,16.46616928100586,17.0928588886261,17.36932939529419,SMP 1          ,5.9944583,-73.6343889,                                  
3469,3373,b'i06MC00370AF6O',70.23605,-67.8005,-0.09068846,1.2853436,-1.185807,1.5943215e-05,1,1,1.4757745,0.008372665,0.010231689,0.01773719,0.016641535,0.015904848,0.0065282728,0.015841737,0.0063951607,0.004133233,0.010776732,0.021254966,0.016267043,16.822208,16.666714,17.00863,17.098337,17.115454,17.05165,17.441797,17.110577,15.629364,17.684898,17.885498,17.731995,-0.5743217468261719,1.4812126159667969,1.6690459907454942,0.0706697946776216,r ≤ 18,1.7683734999999974,PlanetaryNeb,SMP LMC   2,0.0,i06MC00370AF6O,i06MC00370AF6O,,,,,,,,,,,,,70.23605,-67.8005,i06MC00370AF6O,i06MC00370AF6O,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5743210000000012,1.4812129999999986,1.8124330000000004,-2.055534,-2.2561339999999976,0.1554940000000009,-0.4316230000000018,-0.0589270000000006,-0.0897070000000006,-0.2005999999999979,0.3312200000000018,0.063804000000001,4656409929503725824,i06MC00370AF6O,70.23605355628594,-67.80050250273413,17.051648696899413,17.684898963928223,16.666713691711426,17.008631481170653,17.09833645248413,17.115453754425047,17.441798046112062,15.629364124298096,17.88549738693237,17.110576469421385,16.822209241867064,17.73199408340454,LMC-SMP 2      ,70.2362083,-67.8006028,                                  
4463,4335,b'i06MC006805Z0X',95.91787,-69.177124,-0.38266808,1.1807184,-1.3647124,4.9933118e-05,0,0,8.499864,0.015032364,0.01897184,0.023020716,0.03415944,0.023521816,0.0043144673,0.013561073,0.006176828,0.002507585,0.01078028,0.021820439,0.014500963,17.657448,17.711088,17.449013,18.163147,17.61642,16.208511,17.064472,17.0398,15.033207,17.725193,17.817394,17.49325,-0.6853923797607422,2.006593704223633,2.234117816636429,0.0640766709744985,r ≤ 18,2.349289500000001,PlanetaryNeb,SMP LMC 101,0.0,i06MC006805Z0X,i06MC006805Z0X,,,,,,,,,,,,,95.91787,-69.177124,i06MC006805Z0X,i06MC006805Z0X,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.6853930000000013,2.0065929999999987,2.0312649999999977,-2.691986,-2.784187,-0.0536400000000014,-0.4520589999999984,-0.8312889999999982,-0.7141339999999978,-0.0922009999999993,0.0246719999999989,1.407909,5279553261161696896,i06MC006805Z0X,95.91787280690636,-69.17712092905711,16.208511039733885,17.72519340133667,17.711087308883666,17.44901187515259,18.163146680831908,17.61642090034485,17.064471355438233,15.033207134246826,17.81739464187622,17.03980100250244,17.65744772338867,17.49325072479248,LMC-SMP 101    ,95.9176667,-69.1774722,                                  
9898,9656,b'i06MC011404D8S',11.363789,-73.7038,-0.052040774,0.999049,-2.2836752,0.9999834,0,0,1.3896029,0.010576575,0.011963486,0.017632207,0.011510268,0.009896128,0.003344949,0.005777478,0.0020572578,0.001989256,0.0019017232,0.0030640075,0.0021139286,17.310968,16.983257,16.677773,16.512835,16.329126,15.763567,15.577076,14.996693,14.522829,14.678206,14.470259,14.445606,0.318486213684082,0.4738636016845703,0.3426548896218069,0.0242542832073341,r ≤ 18,0.3146205000000002,PlanetaryNeb,LIN  71,0.0,i06MC011404D8S,i06MC011404D8S,,,,,,,,,,,,,11.363789,-73.7038,i06MC011404D8S,i06MC011404D8S,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,0.3184870000000011,0.4738640000000007,1.0542470000000002,-0.1553769999999996,0.0525699999999993,0.3277110000000007,0.4704219999999992,0.7668739999999996,0.1649379999999993,0.207946999999999,0.5803829999999994,0.5655589999999986,4685780354684728192,i06MC011404D8S,11.363788995970886,-73.70379846728981,15.76356702041626,14.67820664215088,16.98325775909424,16.677773113250733,16.512835193634032,16.329126888275148,15.577076030731202,14.522829360961914,14.470258518218994,14.996692649841307,17.310968509674073,14.44560580444336,J4             ,11.36375,-73.70425,
10991,10675,b'i06MC002301HKM',78.06542,-66.38237,-0.492507,1.4696108,-1.8204573,0.9985195,0,0,3.8619096,0.023920035,0.022522368,0.05548825,0.056970682,0.040777303,0.0066821985,0.032211896,0.0076088603,0.003349493,0.015745368,0.03712777,0.024401125,18.134819,17.431206,18.057177,18.272974,18.02008,17.07615,17.995617,17.400747,15.458263,18.324663,18.506676,18.135807,-0.9239158630371094,1.942483901977539,2.255243622977085,0.0832019136422422,r ≤ 18,2.4044419999999977,PlanetaryNeb,SMP LMC  40,0.0,i06MC002301HKM,i06MC002301HKM,,,,,,,,,,,,,78.06542,-66.38237,i06MC002301HKM,i06MC002301HKM,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.923916000000002,1.9424839999999983,2.5373539999999988,-2.8664000000000005,-3.0484129999999983,0.7036130000000007,-0.8417680000000018,-0.3245970000000007,-0.215797000000002,-0.1820129999999977,0.5948700000000002,0.9439300000000016,4661991428515469312,i06MC002301HKM,78.06541907172178,-66.38237332235585,17.07615010070801,18.324662284851076,17.43120668411255,18.05717583847046,18.27297483062744,18.020080465316774,17.99561673927307,15.458263690948485,18.506675046920776,17.400747760772706,18.134818342208863,18.13580792045593,LMC-SMP 40     ,78.065375,-66.3823889,                                  
12069,11731,b'i06MC002609LL1',88.80697,-65.47315,0.059660614,1.1912909,0.41983753,0.9937961,0,0,1.955501,0.03630678,0.026707225,0.12978342,0.08486168,0.057955883,0.008999978,0.03750702,0.006822811,0.0038375745,0.0106388815,0.0366545,0.021827511,18.837173,18.069046,19.587065,19.440084,19.082472,18.194174,18.648096,17.706718,15.795444,18.248882,18.56467,18.206066,-0.5421638488769531,1.9112749099731443,2.087616762135612,0.0722996280680082,r ≤ 18,2.182355999999998,EllipVar,IRAS 05551-6528,0.0,i06MC002609LL1,i06MC002609LL1,,,,,,,,,,,,,88.80697,-65.47315,i06MC002609LL1,i06MC002609LL1,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.5421639999999996,1.9112739999999988,2.852651999999999,-2.4534379999999985,-2.769226,0.7681269999999998,-1.3710379999999986,0.4874560000000016,0.1469810000000002,-0.3157880000000013,0.9413780000000004,0.8882979999999989,4755868963909356288,i06MC002609LL1,88.80697016441111,-65.47315148710334,18.194174392700194,18.24888162994385,18.06904613018036,19.58706449186802,19.44008373641968,19.08247138690949,18.64809585571289,15.795443622589111,18.564670232772823,17.70671760559082,18.837172557353973,18.20606707763672,[M94b] 41      ,88.807,-65.4731167,[WC 7]                            
17025,16523,b'i06MC006500DE3',81.11372,-70.37341,0.22911507,1.1073363,0.94688725,8.027773e-10,1,1,4.9036236,0.029284842,0.028214287,0.05171999,0.06660291,0.05585945,0.02256219,0.024875319,0.016952481,0.0046824687,0.06554094,0.11555728,0.06901779,18.798098,18.236937,18.578886,18.982546,18.821016,18.077965,17.846945,17.681335,15.584993,19.14231,19.330297,18.860943,-1.4609737396240234,2.096342086791992,2.601017732917258,0.2392717636814378,r ≤ 18,2.8268294999999988,PlanetaryNeb,SMP LMC  59,0.0,i06MC006500DE3,i06MC006500DE3,,,,,,,,,,,,,81.11372,-70.37341,i06MC006500DE3,i06MC006500DE3,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.4609749999999977,2.096342,2.261952000000001,-3.5573169999999976,-3.745304000000001,0.5611609999999985,-0.7456089999999982,0.3966299999999982,-0.4036599999999986,-0.1879870000000032,0.1656100000000009,0.7430510000000012,4657923269934284416,i06MC006500DE3,81.11372510662156,-70.3734099125484,18.07796551513672,19.142309852600096,18.236936776161198,18.578886180877685,18.98254602050781,18.8210170173645,17.846945640563966,15.584993560791016,19.33029824829101,17.68133477783203,18.798098262786866,18.8609436416626,LMC-SMP 59     ,81.1135833,-70.3733056,                                  
17049,16545,b'i06MC006501OMG',82.840836,-70.294464,-0.0048751263,0.91596663,-0.13004781,0.99999934,0,0,1.2214038,0.005981929,0.007924957,0.011028964,0.010537823,0.010038397,0.0060029407,0.009686208,0.0061529903,0.0058686845,0.0073865,0.0141559895,0.011230743,16.274876,16.151726,16.162401,16.196932,16.159145,16.273836,16.310356,16.453575,15.95876,16.606024,16.845154,16.774485,-0.1524486541748047,0.4948148727416992,0.5318932388118836,0.0733659054884388,r ≤ 18,0.571039500000003,PlanetaryNeb,UCAC4 099-009868,0.0,i06MC006501OMG,i06MC006501OMG,,,,,,,,,,,,,82.840836,-70.294464,i06MC006501OMG,i06MC006501OMG,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1524490000000007,0.4948150000000009,0.3515959999999989,-0.6472640000000016,-0.886394000000001,0.1231499999999989,-0.0452060000000003,-0.1797390000000014,-0.0345310000000012,-0.2391299999999994,-0.1432190000000019,-0.1146910000000005,4657890250172577536,i06MC006501OMG,82.84083306950734,-70.29446267652017,16.27383674621582,16.60602362060547,16.151725856781006,16.16240182495117,16.19693187713623,16.159145584106444,16.310355293273926,15.958760604858398,16.845154388427733,16.4535751953125,16.274875816345215,16.77448390197754,TIC 425061481  ,82.8406667,-70.294425,[WC 11]                           
17406,16882,b'i06MC00650BICM',82.896614,-69.39625,0.18210211,0.9928358,1.9483665,0.9999996,0,0,1.4187291,0.014166399,0.017442137,0.022613427,0.021989783,0.021594059,0.013391002,0.021890895,0.015570498,0.009767551,0.024046853,0.046380464,0.0375854,17.715475,17.593515,17.41417,17.524633,17.55095,17.601286,17.783535,17.767971,16.785225,18.229223,18.441484,18.394005,-0.461252212524414,0.982746124267578,1.1301744603622474,0.1683130621466,r ≤ 18,1.2133719999999997,PlanetaryNeb,[M94b] 30,0.0,i06MC00650BICM,i06MC00650BICM,,,,,,,,,,,,,82.896614,-69.39625,i06MC00650BICM,i06MC00650BICM,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.4612520000000017,0.9827459999999988,0.99831,-1.4439980000000006,-1.6562589999999986,0.1219600000000014,0.0688819999999985,-0.1666849999999975,-0.1104630000000028,-0.212260999999998,0.0155640000000012,-0.0503360000000014,4658038752964770560,i06MC00650BICM,82.89661551764516,-69.39624405462207,17.601285140991212,18.22922290802002,17.593515058517458,17.414168647766115,17.524633136749266,17.550949493408204,17.783535430908202,16.785224395751953,18.441484897613524,17.76797103881836,17.71547587585449,18.39400562286377,[M94b] 30      ,82.8965833,-69.3962778,                                  
