id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,OGLE-II,OGLE-III,OGLE-IV,ura,udec
i06MC006500LGX,83.31341506959355,-70.36889914486886,14.704917472839355,14.090042526245117,15.728531925201416,15.607497840881347,15.07925323486328,15.027549018859862,14.51196112060547,14.176908172607423,14.03727508544922,14.224580017089842,16.007726844787598,13.979106979370115,LMC_SC1_108086,LMC170.3.21,LMC516.04.19670,83.31325,-70.36894
i06MC0065011W6,83.44365081304218,-70.33488961614331,14.343690032958985,13.966294555664064,15.200882522583008,14.98032632446289,14.560039558410644,14.46727870941162,14.176622528076173,14.012756980895997,13.935304817199707,14.026694358825683,16.0385991897583,13.875994354248046,LMC_SC1_113297,LMC170.3.73425,LMC516.04.19664,83.44342,-70.33486
i06MC0065036NG,83.40301286115147,-70.16543851111545,14.487293098449708,13.985322959899904,15.386942951202393,15.252977043151855,14.795618095397948,14.729344596862791,14.310774940490724,14.038441886901854,13.950338539123535,14.07572631072998,15.6766664352417,13.895202713012694,LMC_SC1_124623,LMC170.4.81503,LMC516.12.2,83.40288,-70.16544
i06MC006502QKB,83.32356378624497,-70.2017599349462,16.83524594116211,17.029379997253418,16.81469949913025,16.70581689453125,16.68449691772461,16.70842861175537,16.75985445404053,16.685054458618165,17.154288612365722,16.901584022521973,16.941687759399414,17.076526718139647,LMC_SC1_124756,LMC170.4.64358,LMC516.12.274,83.32333,-70.20175
i06MC006502XVX,83.31112577273042,-70.18862308588191,16.615933822631835,16.307003173828125,16.67129358482361,16.554217964172363,16.518789329528808,16.513671150207518,16.573671478271486,16.43874136352539,16.1164630279541,16.65544068145752,16.80430143737793,16.008262710571287,LMC_SC1_124784,LMC170.4.64070,LMC516.12.324,83.31079,-70.18892
i06MC0065036AW,83.30265529678962,-70.16475844617916,16.330650329589844,16.802123222351074,16.397504655838013,16.179976135253906,16.1325931930542,16.17419551849365,16.29320349121094,16.56061958312988,16.867662200927736,16.563903205871583,16.8974859085083,16.838397102355955,LMC_SC1_124845,LMC170.4.64064,LMC516.12.413,83.30254,-70.16481
i06MC0065044H6,83.33114011064794,-70.09778951542539,14.514054443359374,13.871035293579101,15.714645473480225,15.507785469055175,14.943213500976562,14.85070156097412,14.330531257629396,13.957814994812011,13.841296081542968,14.02755908203125,15.978583915710448,13.779984550476073,LMC_SC1_136951,LMC169.1.16837,LMC516.12.12288,83.33104,-70.09783
i06MC0065044LR,83.33792872436024,-70.10042262847429,16.19562735748291,15.741897300720215,16.931839792251587,16.7398773727417,16.411429443359374,16.387210121154784,16.05542101287842,15.82905751800537,15.706618194580077,15.875296394348144,17.253818138122558,15.65372188568115,LMC_SC1_136999,LMC169.1.16867,LMC516.12.12344,83.33754,-70.10039
i06MC006500K4V,83.25742430754912,-70.37513792605262,15.089191406249999,14.567042907714843,15.919925300598145,15.783739715576171,15.379691162109374,15.312113037109373,14.906903404235841,14.649058975219727,14.502042137145995,14.6909501953125,16.254849609375,14.451532844543458,LMC_SC1_14210,LMC170.3.15,LMC516.04.19669,83.25717,-70.37517
i06MC006500S4Y,83.16392642130972,-70.3544962116712,16.33049868774414,16.788032684326172,16.31109055709839,16.184809356689453,16.163425483703612,16.199141731262205,16.33555888366699,16.582636917114257,16.86004916381836,16.560960166931153,16.465618309020996,16.887762550354005,LMC_SC1_14373,LMC170.6.112550,LMC516.04.64676,83.16358,-70.3545
i06MC00650529X,83.37466563468662,-69.99633533917945,15.215063385009767,15.722150314331056,15.11574038696289,14.997041374206542,15.003347434997558,15.030705680847166,15.188457191467286,15.54126638031006,15.888141891479492,15.45215892791748,15.29628074645996,15.881216270446778,LMC_SC1_143809,LMC169.1.80878,LMC516.12.27257,83.37517,-69.99631
i06MC006504XCY,83.4252584142671,-70.00895128738858,15.328474334716798,15.759988441467286,15.366335956573486,15.174892097473144,15.15279010772705,15.155005683898924,15.290956748962401,15.595901168823243,15.861749504089357,15.505611709594728,15.684799484252931,15.857994705200195,LMC_SC1_143863,LMC169.1.80898,LMC516.12.27370,83.425,-70.00894
i06MC006500YAV,83.14598945455374,-70.34126568300076,16.536434135437013,16.88614860534668,16.687511531829834,16.457206398010253,16.40979866027832,16.432531585693358,16.5200189743042,16.794589126586914,16.908533012390137,16.731898658752442,16.909840759277344,16.84283686065674,LMC_SC1_14404,LMC170.6.112874,LMC516.04.64720,83.14554,-70.34114
i06MC00880I9N6,83.14576954952693,-70.34123149369884,16.625895229339598,16.975129272460936,16.618173904418946,16.374271034240724,16.430058015823363,16.468356449127196,16.562179222106934,16.850595478057862,17.087842350006103,16.744356468200685,16.497034343719484,17.05397666168213,LMC_SC1_14404,LMC170.6.112874,LMC516.04.64720,83.14554,-70.34114
i06MC006505PEJ,83.36264493696763,-69.92889000817156,16.290084175109865,16.588010559082033,16.31757570838928,16.143806129455566,16.117773094177245,16.139417877197264,16.268806968688963,16.228921394348145,16.768685455322267,16.42718147277832,16.448398094177247,16.743520957946778,LMC_SC1_151200,LMC169.2.19513,LMC516.12.42870,83.36267,-69.92875
i06MC006506B3T,83.39630337579113,-69.86792568351675,16.563644554138182,16.656828651428224,16.688471757888795,16.57070072174072,16.50656935119629,16.518425216674803,16.46955908203125,16.579106094360352,16.73983394622803,16.570387229919433,16.78675525665283,16.710804206848145,LMC_SC1_158241,LMC169.2.91905,LMC516.21.130,83.39625,-69.86794
i06MC006506RPB,83.38839425215909,-69.83565671385489,18.08593067932129,18.291131744384767,18.29486449432373,18.025239295959473,17.96282211303711,17.947033084869386,18.04492128753662,17.894852806091308,18.444005054473877,18.121636184692385,18.41822275543213,18.349784118652344,LMC_SC1_164770,LMC169.3.17823,LMC516.21.12265,83.38829,-69.83567
i06MC006506YXD,83.42291999061393,-69.80154534180949,15.076564613342285,15.25752099609375,14.931771709442138,14.903923973083497,14.923361640930175,14.940481269836425,15.04366911315918,14.754156280517577,15.430834884643556,15.12398603820801,14.832002212524415,15.407592994689942,LMC_SC1_169938,LMC169.3.16700,LMC516.21.11683,83.42288,-69.80158
