Names,RAJ2000_2008,DEJ2000_2008,Type_2008,amaj_2008,amin,PA,Com,SimbadName_2008,RAJ2000_2020,DEJ2000_2020,Type_2020,amaj_2020,bmin,l_logAge,logAge,r_logAge,[M/H],r_[M/H],PapI,B18,SimbadName_2020
"2,OGLS 312,OGLS 328",,,,,,,,,00 12 56.9,-73 29 28,C,1.2,1.2,,9.6,DKB+14,-1.58,DKB+16,0.0,B18,OGLE-CL SMC  328;OGLE-CL SMC 312
"AM 3,ESO28SC4,OGLS 315",,,,,,,,,23 48 59.3,-72 56 46,C,0.9,0.9,,9.72,"PGC+14,DKB+14",-0.98,DKB+16,1.0,B18,OGLE-CL SMC  315
"AM-3,ESO28SC4",23 48 59,-72 56 43,C,0.9,0.9,,Old IAC,ESO 28-4,,,,,,,,,,,,,
B-OB1,,,,,,,,,00 45 34.0,-73 15 26,AN,3.7,3.0,,8.2,CVH+06,,,1.0,B18,[B91] 1
B-OB11,,,,,,,,,00 54 09.0,-72 42 39,AN,3.0,3.0,,,,,,1.0,B18,[B91] 11
B-OB12,,,,,,,,,00 55 22.0,-72 46 57,AN,4.5,4.0,,7.6,CVH+06,,,1.0,B18,[B91] 12
B-OB13,,,,,,,,,00 57 58.0,-72 32 54,A,9.0,6.0,,6.8,CVH+06,,,1.0,B18,[B91] 13
B-OB14,,,,,,,,,00 59 38.0,-72 44 50,A,7.0,7.0,,6.9,CVH+06,,,1.0,B18,[B91] 14
B-OB16,,,,,,,,,00 59 26.0,-72 04 48,AN,4.0,2.0,,,,,,1.0,B18,[B91] 16
B-OB18,,,,,,,,,01 00 55.0,-72 29 44,AN,5.0,3.0,,6.8,CVH+06,,,1.0,B18,[B91] 18
B-OB19,,,,,,,,,01 02 03.0,-72 12 38,A,13.0,13.0,,6.7,CVH+06,,,1.0,B18,[B91] 19
B-OB2,,,,,,,,,00 48 17.0,-73 24 09,A,7.0,3.0,,6.8,CVH+06,,,1.0,B18,[B91] 2
B-OB20,,,,,,,,,01 01 45.0,-72 56 52,A,4.0,3.0,,6.8,CVH+06,,,1.0,B18,[B91] 20
B-OB21,,,,,,,,,01 02 03.0,-72 40 26,A,4.0,2.7,,7.0,CVH+06,,,1.0,B18,[B91] 21
B-OB23,,,,,,,,,01 03 06.0,-72 25 54,AN,5.0,2.5,,6.9,CVH+06,,,1.0,B18,[B91] 23
B-OB24,,,,,,,,,01 03 29.0,-71 56 00,AN,8.5,6.0,,7.0,CVH+06,,,1.0,B18,[B91] 24
B-OB25,,,,,,,,,01 04 38.0,-72 40 36,A,4.0,2.0,,7.0,CVH+06,,,1.0,B18,[B91] 25
B-OB28nw,,,,,,,,,01 04 58.0,-72 24 11,AN,6.0,2.0,,6.8,CVH+06,,,1.0,B18,[B91] 28nw
B-OB28se,,,,,,,,,01 05 37.0,-72 27 57,AN,3.4,2.4,,6.9,CVH+06,,,1.0,B18,[B91] 28se
B-OB29,,,,,,,,,01 06 14.0,-72 15 13,A,10.0,5.5,,6.9,CVH+06,,,1.0,B18,[B91] 29
B-OB30,,,,,,,,,01 07 40.0,-72 16 10,A,4.0,3.0,,6.8,CVH+06,,,1.0,B18,[B91] 30
B-OB5ne,,,,,,,,,00 52 21.0,-73 09 44,A,3.3,2.3,,6.8,CVH+06,,,1.0,B18,[B91] 5ne
B-OB5se,,,,,,,,,00 53 11.2,-73 13 13,AN,5.5,5.0,,8.3,CVH+06,,,1.0,B18,[B91] 5se
B-OB7,,,,,,,,,00 51 33.0,-72 47 39,AN,4.0,2.0,,6.8,CVH+06,,,1.0,B18,[B91] 7
"B-OB9,BIS538",,,,,,,,,00 51 51.0,-72 32 52,A,2.8,2.5,,6.9,CVH+06,,,1.0,B18,[B91] 9
B1,00 19 20,-74 06 26,C,0.8,0.8,,br*in or sup,Bruck 1,,,,,,,,,,,,,
"B1,OGLS 322",,,,,,,,,00 19 19.3,-74 06 24,C,0.8,0.8,,,,,,1.0,B18,OGLE-CL SMC  322
"B10,SOGLE4",00 37 44,-73 12 40,C,0.8,0.8,,,Bruck 10,00 37 44.5,-73 12 38,C,0.8,0.8,,9.0,"GGK10,CVH+06",,,1.0,B18,Bruck 10
B100,01 00 23,-72 05 05,C,0.65,0.65,,,Bruck 100,01 00 23.9,-72 05 21,C,0.65,0.65,,8.1,GGK10,,,0.0,B18,Bruck 100
"B101,BUS1017",,,,,,,,,01 00 44.8,-71 31 26,A,1.3,1.3,,7.53,BGB+18,,,1.0,B18,Bruck 101
B102,01 00 49,-71 35 16,C,0.5,0.4,80,in DEMS108,Bruck 102,01 00 48.7,-71 35 15,C,0.5,0.4,,,,,,1.0,B18,Bruck 102
B103,01 00 56,-73 09 09,C,0.9,0.65,160,,Bruck 103,,,,,,,,,,,,,
"B103,RZ127",,,,,,,,,01 00 57.0,-73 09 13,C,0.9,0.65,,8.43,"GGK10,MPS14",-0.01,PPV17,1.0,B18,Bruck 103
B104,,,,,,,,,01 01 29.1,-73 15 55,CC,0.35,0.35,,,,,,0.0,B18,
