cluster_Names,counts_be_stars,counts_all_stars,fraction_be_stars,[M/H],amaj,Cross-ID,Vmag,e_Vmag,LogAge_total,ra_deg,dec_deg
B-OB1                                  ,3.0,360,0.0083333333333333,     ,3.7,,,, 8.20,11.391666666666666,-73.25722222222223
B-OB11                                 ,1.0,376,0.0026595744680851,     ,3.0,,,,     ,13.537499999999998,-72.71083333333334
B-OB12                                 ,15.0,3543,0.004233700254022,     ,4.5,,,, 7.60,13.841666666666663,-72.7825
B-OB13                                 ,54.0,7138,0.0075651442981227,     ,9.0,,,, 6.80,14.491666666666664,-72.54833333333333
B-OB14                                 ,33.0,9597,0.0034385745545482,     ,7.0,,,, 6.90,14.908333333333331,-72.74722222222222
B-OB16                                 ,14.0,1102,0.0127041742286751,     ,4.0,,,,     ,14.85833333333333,-72.08
B-OB18                                 ,54.0,4380,0.0123287671232876,     ,5.0,,,, 6.80,15.229166666666664,-72.49555555555555
B-OB19                                 ,267.0,20277,0.0131676283473886,     ,13.0,,,, 6.70,15.512499999999998,-72.21055555555556
B-OB2                                  ,66.0,7520,0.0087765957446808,     ,7.0,,,, 6.80,12.070833333333333,-73.4025
B-OB20                                 ,5.0,2959,0.0016897600540723,     ,4.0,,,, 6.80,15.437499999999996,-72.94777777777779
B-OB21                                 ,25.0,3880,0.0064432989690721,     ,4.0,,,, 7.00,15.512499999999998,-72.6738888888889
B-OB23                                 ,36.0,3154,0.0114140773620798,     ,5.0,,,, 6.90,15.775,-72.43166666666667
B-OB24                                 ,71.0,5905,0.0120237087214225,     ,8.5,,,, 7.00,15.870833333333332,-71.93333333333334
B-OB25                                 ,22.0,2301,0.009561060408518,     ,4.0,,,, 7.00,16.15833333333333,-72.67666666666668
B-OB28nw                               ,46.0,4313,0.0106654300950614,     ,6.0,,,, 6.80,16.241666666666667,-72.40305555555557
B-OB28se                               ,23.0,1498,0.0153538050734312,     ,3.4,,,, 6.90,16.404166666666665,-72.46583333333334
B-OB29                                 ,152.0,10114,0.0150286731263595,     ,10.0,,,, 6.90,16.558333333333334,-72.25361111111111
B-OB30                                 ,29.0,1596,0.0181704260651629,     ,4.0,,,, 6.80,16.916666666666664,-72.26944444444445
B-OB5ne                                ,6.0,979,0.0061287027579162,     ,3.3,,,, 6.80,13.0875,-73.16222222222223
B-OB5se                                ,35.0,5472,0.0063961988304093,     ,5.5,,,, 8.30,13.296666666666663,-73.22027777777778
