id,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,ra,dec,ra_deg,dec_deg,Type,Category,Bestar
i06S82009601LJJ,11.426054634094239,12.002272224426271,10.39518302154541,,10.005123527526855,10.174041122436524,,11.528089851379395,,11.887403732299806,,11.467886207580566,306.15599588512356,1.0685238954072251,306.15624999999994,1.0684055555555556,B9IIIe,Classical,HD 194244
i06b02101YRZ,11.92299540710449,,12.57649765396118,12.340198322296143,12.190816108703615,12.081417709350585,11.444401901245119,,10.635273811340333,,12.41613887786865,,269.44340026826205,-24.202640316834273,269.4436666666666,-24.20288888888889,Be,Classical,EM* AS 258
i06b01206712,11.704976593017577,11.1106103515625,12.360187614440918,11.93832118988037,11.854724678039553,11.854704803466795,11.517516677856445,11.158330192565916,11.017427360534668,11.211481773376466,12.751232330322267,10.945700996398926,268.2580578340793,-22.33142342538066,268.25808333333333,-22.33143888888889,Be_sh?e,Classical,CPD-22 6463
i06b012068PI,10.948466667175293,10.520471366882326,11.655850090026856,11.236373977661131,11.135268699645994,11.121121871948244,10.808737632751466,,10.363768898010253,10.869982040405272,11.93242527770996,10.28993300628662,268.23206084663195,-22.31205516370855,268.2320833333333,-22.312077777777777,Be,Classical,HD 313425
i06b061051DO,,10.82396784210205,9.902808944702148,9.579408782958986,9.515195587158203,9.542587097167967,9.596952888488769,10.43224777984619,10.04989517211914,,10.28450267791748,10.831826568603514,268.0582011310231,-27.74039349259589,268.058125,-27.740475,B8e,Classical,HD 316475
i06b044028BT,12.196848815917967,12.328656646728515,,,10.6862059173584,10.820377357482911,,12.207604133605958,,12.2321520614624,10.985759590148927,12.217146560668944,267.1158741919228,-26.974995227612446,267.116,-26.974944444444443,B4IVe,Classical,V3894 Sgr
i06b06103OCW,10.479352378845213,10.770867683410646,11.713861045837401,11.5671875,11.311164215087892,10.91868453979492,9.676966194152833,10.315850151062012,,,11.786048595428468,10.69701759338379,267.0584044179553,-28.01478791305977,267.0585,-28.014758333333333,Be,Classical,V4375 Sgr
i06b1240581N,12.162567192077638,12.284515075683593,11.833681327819825,,,,,,,12.21164099884033,,,258.8305570363149,-33.54837676498114,258.8302083333333,-33.54841944444444,O8Ve,Classical,V1075 Sco
i06n17s0900OT9,13.59074491882324,13.925881057739257,13.650204132080077,13.571051765441894,13.44570510482788,13.505200916290285,13.591071983337404,13.834213615417479,14.050794136047362,13.745908348083496,13.523647212982176,14.058475952148438,162.4996236905948,-21.569062051441733,162.4992083333333,-21.5689,Be,Classical,EC 10475-2118
i06d37501PM2,,,11.362657539367675,11.010857421874999,10.945206428527833,10.962425888061524,10.843406845092773,11.324806076049803,11.084937026977538,,11.5541293258667,,129.88213578973293,-40.47158545233669,129.882,-40.471694444444445,B6Ve,Classical,CD-40 4488
i06d46503OOU,,11.075954696655273,8.615442550659179,7.920071853637694,8.385993721008301,8.080359100341798,8.921546379089357,10.201229560852052,,,,,128.09742428097977,-49.60100245816864,128.09741666666665,-49.601325,B2IIpshe,Classical,FY Vel
i06d43003RZR,9.919570915222167,,9.778689277648926,9.489326133728028,9.448474258422852,9.46777364349365,9.447167205810548,,9.436086669921874,9.326662651062012,,10.810193389892579,125.84521982026284,-45.753019697972164,125.84541666666664,-45.75306388888889,B2.5ne,Classical,HD 71042
i06d34203R0S,10.657964164733887,11.329327644348144,10.100435813903808,9.723154190063475,9.65360214996338,9.633034790039062,9.657306724548341,10.873855003356933,10.507234588623046,11.03962712097168,10.413527572631835,,125.52158293014465,-37.507438885474066,125.52166666666666,-37.507475,Be,Classical,CD-37 4605
i06d429043WH,10.844892463684083,11.250629943847656,10.217086288452148,9.96101333618164,9.891959197998048,9.95253340911865,10.073943138122559,10.603270278930665,10.625640937805176,11.15434768676758,10.383894592285156,11.144063758850098,124.51167147985781,-45.642106926098585,124.51175,-45.64218055555556,B5Ve,Classical,HD 70064
i06d45302ONS,10.474374961853027,10.961745834350587,10.443283287048338,10.089452468872071,10.054330841064452,10.081094490051271,10.144369018554688,10.567527870178221,10.570543968200685,10.715364784240723,10.72263237762451,10.679407264709472,123.93081778580037,-48.34415526062405,123.93095833333332,-48.34421944444445,B9Vne,Classical,HD 69651
i06d34104FHY,10.112597831726074,,9.13571438598633,8.968026405334474,8.971864082336428,8.97421829223633,9.1429393157959,,9.880694007873537,,,,123.87658820533647,-37.11739700626495,123.87670833333333,-37.117494444444446,B1Vpe,Classical,HD 69425
i06d27701LHA,11.46379507446289,11.261783782958986,11.756247016906737,11.626299827575682,11.563777862548829,11.535520278930665,11.365435371398927,11.286317070007325,11.272411567687989,11.76939836883545,11.733088432312012,11.255053886413574,123.0524900902237,-32.47085487115846,123.05249999999998,-32.47088333333333,B0IIIe,Classical,Cl* Ruprecht 55 DE 32
i06d27701F3Q,13.753201042175291,13.365769569396974,14.099295848846435,13.914775413513183,13.833167232513429,13.806756916046144,13.62589970779419,13.36842897796631,13.390209491729735,13.497319450378416,14.11894384765625,13.348899253845214,123.04375590055949,-32.50786887404302,123.04370833333331,-32.50786111111111,B2Vne,Classical,Cl* Ruprecht 55 DE 4
