,Unnamed: 0,id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,err_mag_psf_g,err_mag_psf_i,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_j0515,err_mag_psf_j0660,err_mag_psf_j0861,err_mag_psf_r,err_mag_psf_u,err_mag_psf_z,aperture_id,center_ra,center_dec,sep_arcsec,star_id
38,38,i06MC006309EBN,75.55487744656473,-69.68364003692894,19.50188621520996,19.605483766555786,20.03151526015997,19.479977406024933,19.4162018327713,19.397149211883544,19.445680213928224,19.564349546432496,19.82991874504089,19.46083795547485,20.4196638417244,19.76865087127685,0.039674565,0.05754903,0.09719657,0.095557526,0.08507411,0.07601443,0.06815761,0.051377106,0.10754205,0.044014316,0.10223467,0.090445206,0,75.5427588234351,-69.67639835214419,30.152481711480995,
49,49,i06MC006309CMU,75.54409546291637,-69.68631094662553,18.984558429718017,19.233814712524413,19.53954827499389,18.94345388507843,18.81992566871643,18.827799922943115,18.97680456733704,19.22129000663757,19.40873134422302,18.98911392211914,20.22190290212632,19.24497423744201,0.027510354,0.042953294,0.07067944,0.068285495,0.05993109,0.052947454,0.049549937,0.039492823,0.07593007,0.030685328,0.09854425,0.05779978,0,75.5427588234351,-69.67639835214419,35.724436596514415,
83,83,i06MC006309KYO,75.53792312386464,-69.67265766007968,19.24506806564331,19.20020715713501,19.91354770672321,19.551007396936416,19.21097255039215,19.242889291763305,19.132612228393555,19.220588604927062,19.381596853256227,19.17456066131592,20.61577185511589,19.31678329086304,0.03160123,0.040641997,0.08677037,0.0991899,0.07137752,0.06617884,0.052485477,0.03801752,0.07269801,0.034191925,0.12000927,0.060411576,0,75.5427588234351,-69.67639835214419,14.761819490819448,
88,88,i06MC006309NBH,75.54947796349562,-69.668188304848,18.596016399383544,18.80011646270752,19.21849775028229,18.71009895896912,18.48826349067688,18.60927212905884,18.566479921340942,18.762163751602174,18.915785362243653,18.659234088897705,19.81323843717575,18.877781326293945,0.019779269,0.030086463,0.052393112,0.054337114,0.042887438,0.04282307,0.035570357,0.027028691,0.050592057,0.02306405,0.06316463,0.04213449,0,75.5427588234351,-69.67639835214419,30.72746300016225,
116,116,i06MC006309FMH,75.49835840316398,-69.68272476381578,19.435839023590088,19.641900058746337,20.40147494983673,19.81500571167469,19.378974321365355,19.48352695178985,19.39263851737976,19.67222878074645,19.929294635772703,19.4467822265625,20.66213072359562,19.7230382976532,0.036799278,0.058373038,0.12835881,0.12182671,0.08059516,0.079044454,0.063828304,0.0551088,0.11539554,0.042895038,0.12358676,0.08597479,0,75.5427588234351,-69.67639835214419,59.99886351591346,
127,127,i06MC006309JKP,75.53162252577575,-69.67332957542347,19.44483701324463,19.5051891040802,20.094357413638384,19.63290328478813,19.25827324676513,19.44945157241821,19.308176279068,19.459659854888915,19.64334647846222,19.30936347961426,20.69363983243704,19.546200853347777,0.037619725,0.05290692,0.10323662,0.10557294,0.0750321,0.07882389,0.06100231,0.046738848,0.09135583,0.038768873,0.12922233,0.07421907,0,75.5427588234351,-69.67639835214419,17.77541898634807,
137,137,i06MC006309PUV,75.5370236905279,-69.66367908439865,19.25743967819214,19.400812072753908,19.62019633960724,19.23534748649597,19.12074959564209,19.163565046310424,19.128730297088623,19.331856840133668,19.51578304862976,19.32906965637207,20.29356500029564,19.59540408325196,0.03210397,0.048326246,0.06933847,0.077456385,0.06702501,0.06271216,0.052662775,0.04202758,0.082462445,0.039237797,0.09143977,0.077430345,0,75.5427588234351,-69.67639835214419,46.347810669988775,
139,139,i06MC006309K4N,75.5112546104261,-69.67369859708303,18.913579860687257,19.212427062988283,19.2474203081131,18.831001258850097,18.767049673080443,18.8471967048645,18.88489460945129,19.131895820617675,19.34939811325073,19.009063835144044,19.60780882358551,19.20262084579468,0.024842437,0.041382156,0.052067462,0.058286913,0.051427923,0.04961222,0.04428221,0.035813022,0.07151498,0.030121775,0.052403424,0.054931216,0,75.5427588234351,-69.67639835214419,40.575301362350416,
144,144,i06MC006309KPS,75.50542072941265,-69.67249608672337,18.32342521286011,18.65622751235962,18.556522724151613,18.1578621635437,18.057544115066527,18.191256649017333,18.34649085998535,18.56983761024475,18.834956384658813,18.46589855575561,18.82843577384949,18.860492330551143,0.016269436,0.026929874,0.032578997,0.037074253,0.032061636,0.031896774,0.030393567,0.0232918,0.046967503,0.019844176,0.029839624,0.041272458,0,75.5427588234351,-69.67639835214419,48.757935507894416,
150,150,i06MC006309OV7,75.50827652693769,-69.66583893978843,18.781090728759764,19.04520170211792,19.124006030082704,18.670835591316223,18.599700572967528,18.6902633972168,18.74424958229065,19.015647047042847,19.33675382232666,18.893275302886963,19.539751167297364,19.28641837310791,0.022517087,0.036298864,0.048342522,0.051572964,0.045918543,0.04449849,0.039709773,0.032388814,0.07039226,0.02751423,0.050334573,0.058919664,0,75.5427588234351,-69.67639835214419,57.488305657130745,
177,177,i06MC003309FB1,83.38202302543178,-66.74106781414545,16.20495260620117,16.813286659240724,16.265890926361084,16.023068685531616,16.019080993652345,16.014705417633056,16.368206357955934,16.659895193099974,16.96572430419922,16.513161308288574,16.43085745048523,17.038107849121094,0.0030159107,0.0052195857,0.008699319,0.011841902,0.010184147,0.10521362,0.02500025,0.0060446365,0.013565889,0.0036431826,0.0067035947,0.013016153,1,83.36497153515745,-66.73184291718985,41.118014531622734,
