age_pct_bin,n_be,n_total,median_logAge,min_logAge,max_logAge,num_clusters,f_be,f_be_err
0.0,3473.0,330837,6.8,6.0,6.9,117,0.010497616651100088,0.00017719307295796272
1.0,1085.0,118653,7.0,6.95,7.2,99,0.009144311563972255,0.00027633847035703137
2.0,253.0,21951,7.4,7.22,7.53,82,0.011525670812263678,0.0007204247896709041
3.0,322.0,30488,7.7,7.54,7.8,101,0.0105615324061926,0.000585454833070873
4.0,356.0,37612,7.95,7.81,8.0,126,0.009465064341167713,0.0004992676998895118
5.0,263.0,29306,8.05,8.01,8.09,72,0.008974271480242954,0.0005508886107954965
6.0,206.0,28109,8.13,8.1,8.17,107,0.007328613611298872,0.0005087342376168972
7.0,257.0,36344,8.2,8.18,8.24,94,0.007071318511996478,0.00043953439505948
8.0,392.0,56107,8.28,8.25,8.3,142,0.006986650507066854,0.0003516442570680671
9.0,122.0,20924,8.33,8.31,8.35,57,0.005830625119480023,0.0005263388101044619
10.0,156.0,27332,8.395,8.36,8.4,98,0.005707595492463047,0.0004556673887177366
11.0,245.0,41074,8.45,8.41,8.49,102,0.005964843940205483,0.00037994165976349813
12.0,195.0,34781,8.53,8.5,8.55,108,0.005606509301055174,0.0004003634082236319
13.0,168.0,31517,8.6,8.56,8.63,91,0.005330456578989117,0.00041015610404711696
14.0,169.0,34720,8.68,8.64,8.7,96,0.004867511520737327,0.0003735115950616934
15.0,116.0,27391,8.78,8.71,8.8,110,0.004234967690117192,0.0003923733860893672
16.0,148.0,33964,8.864999999999998,8.81,8.9,92,0.004357555058297021,0.00035740755357350725
17.0,148.0,29910,9.0,8.91,9.04,97,0.004948177866934135,0.00040573016195167113
18.0,154.0,28808,9.17,9.06,9.32,95,0.005345737295195779,0.0004296188479148739
19.0,171.0,32885,9.6,9.33,10.02,100,0.005199939181997871,0.00039661406425487225
