id,ra_be,dec_be,mag_psf_g_be,mag_psf_i_be,mag_psf_j0378_be,mag_psf_j0395_be,mag_psf_j0410_be,mag_psf_j0430_be,mag_psf_j0515_be,mag_psf_j0660_be,mag_psf_j0861_be,mag_psf_r_be,mag_psf_u_be,mag_psf_z_be,OGLE-II,OGLE-III,OGLE-IV,ura,udec,OGLE,Ori,DC,DDC,Nou,Mass,Group,id_x,ra_simb,dec_simb,parallax,gaia_ruwe,gaia_parallax_over_error,gaia_classprob_dsc_combmod_star,gaia_in_qso_candidates,gaia_in_galaxy_candidates,gaia_phot_bp_rp_excess_factor,err_mag_psf_u,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_g,err_mag_psf_j0515,err_mag_psf_r,err_mag_psf_j0660,err_mag_psf_i,err_mag_psf_j0861,err_mag_psf_z,mag_psf_u_simb,mag_psf_j0378_simb,mag_psf_j0395_simb,mag_psf_j0410_simb,mag_psf_j0430_simb,mag_psf_g_simb,mag_psf_j0515_simb,mag_psf_r_simb,mag_psf_j0660_simb,mag_psf_i_simb,mag_psf_j0861_simb,mag_psf_z_simb,ri,rJ0660,delta_Ha,thr,panel_label,excess,main_type,main_id,size_angle,splus_idr6_id,id_y,mu_max_u,mu_max_g,mu_max_r,mu_max_i,mu_max_z,mu_max_j0378,mu_max_j0395,mu_max_j0410,mu_max_j0430,mu_max_j0515,mu_max_j0660,mu_max_j0861,upload_ra,upload_dec,upload_splus_idr6_id,mu_background_g,mu_background_i,mu_background_j0378,mu_background_j0395,mu_background_j0410,mu_background_j0430,mu_background_j0515,mu_background_j0660,mu_background_j0861,mu_background_r,mu_background_u,mu_background_z,flags_det,flags_g,flags_i,flags_j0378,flags_j0395,flags_j0410,flags_j0430,flags_j0515,flags_j0660,flags_j0861,flags_r,flags_u,flags_z,r_i,r_j0660,j0515_j0660,j0660_i,j0660_j0861,u_j0378,j0378_j0410,g_r,j0395_j0410,i_j0861,j0515_r,j0430_g,gaia_source_id
i06MC006502XVX,83.31112577273042,-70.18862308588191,16.615933822631835,16.307003173828125,16.67129358482361,16.554217964172363,16.518789329528808,16.513671150207518,16.573671478271486,16.43874136352539,16.1164630279541,16.65544068145752,16.80430143737793,16.008262710571287,LMC_SC1_124784,LMC170.4.64070,LMC516.12.324,83.31079,-70.18892,LMC_SC1_124784,P,0.709,1.0,0.311,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC0065036AW,83.30265529678962,-70.16475844617916,16.330650329589844,16.802123222351074,16.397504655838013,16.179976135253906,16.1325931930542,16.17419551849365,16.29320349121094,16.56061958312988,16.867662200927736,16.563903205871583,16.8974859085083,16.838397102355955,LMC_SC1_124845,LMC170.4.64064,LMC516.12.413,83.30254,-70.16481,LMC_SC1_124845,E,0.473,0.979,0.569,13.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC00650529X,83.37466563468662,-69.99633533917945,15.215063385009769,15.722150314331056,15.11574038696289,14.997041374206542,15.003347434997558,15.030705680847166,15.188457191467286,15.54126638031006,15.888141891479492,15.45215892791748,15.29628074645996,15.881216270446778,LMC_SC1_143809,LMC169.1.80878,LMC516.12.27257,83.37517,-69.99631,LMC_SC1_143809,P,0.473,0.92,0.762,10.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC006506B3T,83.39630337579113,-69.86792568351675,16.563644554138182,16.656828651428224,16.688471757888795,16.57070072174072,16.50656935119629,16.518425216674803,16.46955908203125,16.579106094360352,16.73983394622803,16.570387229919433,16.78675525665283,16.710804206848145,LMC_SC1_158241,LMC169.2.91905,LMC516.21.130,83.39625,-69.86794,LMC_SC1_158241,P,0.492,1.0,0.725,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC006506RPB,83.38839425215909,-69.83565671385489,18.08593067932129,18.291131744384767,18.29486449432373,18.025239295959476,17.96282211303711,17.947033084869386,18.04492128753662,17.894852806091308,18.44400505447388,18.121636184692385,18.41822275543213,18.349784118652344,LMC_SC1_164770,LMC169.3.17823,LMC516.21.12265,83.38829,-69.83567,LMC_SC1_164770,P,0.135,0.83,0.052,3.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC006506ZWG,83.43143980951996,-69.79907628465821,17.503999938964842,17.591066680908202,17.628036930084228,17.502505214691162,17.42821393585205,17.422158325195312,17.431463607788086,17.48959462738037,17.677127952575685,17.524483070373535,17.701172805786133,17.634935600280762,LMC_SC1_170211,LMC169.3.17098,LMC516.21.12631,83.43154,-69.79928,LMC_SC1_170211,P,0.524,1.0,0.623,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC006501MSX,83.620814066688,-70.2913166211482,15.763147583007813,15.862242935180664,15.791028610229493,15.68400064086914,15.67540744781494,15.675309410095212,15.711755546569826,15.6076580657959,15.988426788330075,15.772107299804688,15.949503440856931,15.96754096221924,LMC_SC1_201726,LMC170.3.73503,LMC516.03.73678,83.6205,-70.29131,LMC_SC1_201726,P,0.657,1.0,0.311,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC006506CMS,83.47332590569646,-69.86273791520686,16.933089111328126,16.928149543762206,16.972495851516722,16.89171061706543,16.86682785797119,16.84503578186035,16.8431148147583,16.809082489013672,17.075839302062988,16.9090495223999,16.86396541595459,17.061656768798827,LMC_SC1_248039,LMC169.2.91966,LMC516.20.40474,83.47325,-69.86278,LMC_SC1_248039,P,0.676,0.959,0.518,4.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC0065072E9,83.49159409360198,-69.78709299441915,16.948267181396485,17.411142265319825,16.870905281066893,16.770919898986815,16.804028778076173,16.812964927673338,16.962720832824708,17.111652687072755,17.56311728668213,17.130959449768067,16.90215721130371,17.533575828552245,LMC_SC1_252841,LMC169.3.17177,LMC516.20.51533,83.49154,-69.78711,LMC_SC1_252841,P,0.211,0.519,1.139,5.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i06MC0065072UN,83.7711267368837,-69.78463422373677,16.949927238464355,17.429981437683104,16.972633419036864,16.74982898712158,16.771927436828612,16.817987121582032,16.977084671020506,17.226356475830077,17.576776649475097,17.180825462341307,17.026943183898926,17.598980865478516,LMC_SC1_335489,LMC169.3.47595,LMC516.20.10631,83.771,-69.78467,LMC_SC1_335489,P,0.258,0.809,0.207,5.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
