col1,id_x,ra,dec,parallax,gaia_ruwe,gaia_parallax_over_error,gaia_classprob_dsc_combmod_star,gaia_in_qso_candidates,gaia_in_galaxy_candidates,gaia_phot_bp_rp_excess_factor,err_mag_psf_u,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_g,err_mag_psf_j0515,err_mag_psf_r,err_mag_psf_j0660,err_mag_psf_i,err_mag_psf_j0861,err_mag_psf_z,mag_psf_u,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_g,mag_psf_j0515,mag_psf_r,mag_psf_j0660,mag_psf_i,mag_psf_j0861,mag_psf_z,ri,rJ0660,delta_Ha,thr,panel_label,excess,main_type,main_id,size_angle,splus_idr6_id,id_y,mu_max_u,mu_max_g,mu_max_r,mu_max_i,mu_max_z,mu_max_j0378,mu_max_j0395,mu_max_j0410,mu_max_j0430,mu_max_j0515,mu_max_j0660,mu_max_j0861,upload_ra,upload_dec,upload_splus_idr6_id,id,mu_background_g,mu_background_i,mu_background_j0378,mu_background_j0395,mu_background_j0410,mu_background_j0430,mu_background_j0515,mu_background_j0660,mu_background_j0861,mu_background_r,mu_background_u,mu_background_z,flags_det,flags_g,flags_i,flags_j0378,flags_j0395,flags_j0410,flags_j0430,flags_j0515,flags_j0660,flags_j0861,flags_r,flags_u,flags_z,r_i,r_j0660,j0515_j0660,j0660_i,j0660_j0861,u_j0378,j0378_j0410,g_r,j0395_j0410,i_j0861,j0515_r,j0430_g,gaia_source_id,flag_be_star_figueiredo,source_id,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag
15105,b'i06MC00450085A',2.0596972,-70.19888,-0.041086614,0.9837374,-1.5429462,0.9999996,0,0,1.1523159,0.004346132,0.005530896,0.00726195,0.0069184895,0.006695185,0.0031497462,0.0060485615,0.0031291004,0.003521249,0.0037884123,0.0073278057,0.0053445376,15.367463,15.426189,15.389524,15.338472,15.437773,15.540327,15.577019,15.79646,15.721819,16.030561,16.250149,16.247059,-0.2341012954711914,0.0746412277221679,0.1408979056215032,0.0402181962803309,r â¤ 18,0.1916914999999992,unknown,,,i06MC00450085A,i06MC00450085A,17.030946449279785,17.21244631576538,17.287832710266112,17.32660604095459,17.50557481765747,16.830854190826415,16.997433267593383,17.34580404472351,17.276428680419922,17.22019194793701,17.304125314712525,17.605360767364502,2.0596972,-70.19888,i06MC00450085A,i06MC00450085A,26.763470514297484,26.961930280685426,25.93196369552612,25.36364587402344,25.59152657699585,25.65704677581787,26.79048346710205,,,,25.812997535705566,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.234100999999999,0.0746409999999997,-0.1448,-0.3087419999999987,-0.5283300000000004,-0.058726,0.0877170000000013,-0.2561330000000001,0.0510520000000003,-0.2195880000000016,-0.2194409999999997,-0.1025539999999995,4702938581521835648,0,4702938581521835648,20300.3223,14841.9541,26906.7012,27678.4375,17190.8008,33119.957,10122
378,b'i06MC011305GO4',2.8996966,-72.947556,-0.061394356,0.98220605,-1.4426546,0.99999946,0,0,1.1599095,0.006910564,0.0096884435,0.013496661,0.0123391505,0.012051452,0.005537799,0.010731371,0.0054154345,0.0053354185,0.006586049,0.013416136,0.010486575,16.411055,16.648222,16.614084,16.594845,16.65501,16.802452,16.780592,16.851412,16.54895,17.003809,17.22222,17.224085,-0.1523971557617187,0.3024616241455078,0.3395215874214669,0.0655207106028092,r â¤ 18,0.3786604999999987,unknown,,,i06MC011305GO4,i06MC011305GO4,,,,,,,,,,,,,2.8996966,-72.947556,i06MC011305GO4,i06MC011305GO4,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1523970000000005,0.3024619999999984,0.2316419999999972,-0.454858999999999,-0.6732699999999987,-0.2371669999999994,0.0533770000000011,-0.048960000000001,0.0192389999999988,-0.2184109999999997,-0.0708200000000012,-0.147441999999998,4689434650291121536,0,4689434650291121536,19988.8438,13011.6367,28782.8438,9202.5957,8897.69434,9582.7959,10022
372,b'i06MC011303YZE',3.048213,-73.34041,1.2227536,1.1446906,84.770584,0.9999208,0,0,1.1969532,0.0024196515,0.0028516569,0.0037852563,0.0028223665,0.002618584,0.0010245986,0.001803909,0.0007700477,0.00089821406,0.00083172513,0.0013029473,0.0009695205,14.431794,14.281376,14.186602,13.719621,13.668766,13.417584,13.235121,13.007352,12.97306,13.030727,12.865748,12.927071,-0.0233755111694335,0.0342922210693359,0.025246709753744,0.0100042202987433,r â¤ 18,0.0459794999999996,Star,UCAC4 084-000130,0.0,i06MC011303YZE,i06MC011303YZE,,,,,,,,,,,,,3.048213,-73.34041,i06MC011303YZE,i06MC011303YZE,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233750000000014,0.0342919999999988,0.2620609999999992,-0.0576670000000003,0.1073120000000003,0.1504180000000001,0.5617549999999998,0.4102320000000006,0.4669810000000005,0.1649790000000006,0.2277690000000003,0.251182,4688666164679341056,0,4688666164679341056,802.613037,793.568542,811.406067,803.560974,795.586609,812.712036,10033
23884,b'i06MC00920214O',3.345323,-72.18134,2.0196042,1.0154403,178.78036,0.999739,0,0,1.1975434,0.0032186238,0.0038773909,0.004999796,0.0035359024,0.0032478878,0.0012204604,0.002125362,0.00086385355,0.001009528,0.0008715222,0.0014467965,0.0009991712,14.8511095,14.750588,14.661465,14.071306,14.027289,13.668325,13.502457,13.215989,13.156107,13.138115,13.051984,13.038556,0.0778741836547851,0.0598821640014648,0.0146553960690321,0.0111933540543344,r â¤ 18,0.0209449999999993,Star,UCAC4 090-000176,0.0,i06MC00920214O,i06MC00920214O,,,,,,,,,,,,,3.345323,-72.18134,i06MC00920214O,i06MC00920214O,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0778739999999995,0.0598819999999999,0.3463499999999992,0.0179919999999995,0.1041230000000013,0.1005214999999992,0.6792820000000006,0.4523359999999989,0.5901589999999999,0.0861310000000017,0.2864679999999993,0.3589640000000003,4689722795353342720,0,4689722795353342720,487.372528,484.113831,490.519165,486.218414,483.570465,489.439362,10033
23870,b'i06MC009200TDE',3.5397105,-72.60989,0.20358407,1.0303782,13.612307,0.99992305,0,0,1.1675448,0.0047132885,0.004610265,0.0054220147,0.004406587,0.0040155635,0.0016666795,0.0030319453,0.0013038813,0.0015299837,0.0013593651,0.0022892836,0.0016576299,15.512864,15.043072,14.798887,14.474805,14.425865,14.263409,14.176036,14.01575,13.957863,13.980905,13.911109,13.965951,0.0348453521728515,0.0578870773315429,0.028036525559302,0.0169592869023812,r â¤ 18,0.0404645000000005,RRLyrae,V* UX Tuc,0.0,i06MC009200TDE,i06MC009200TDE,,,,,,,,,,,,,3.5397105,-72.60989,i06MC009200TDE,i06MC009200TDE,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348450000000006,0.0578870000000009,0.2181730000000001,-0.0230420000000002,0.0467539999999999,0.469792,0.5682670000000005,0.2476589999999987,0.3240820000000006,0.0697960000000001,0.1602859999999992,0.1624560000000006,4689507497232922624,0,4689507497232922624,4181.38428,3922.26465,4454.47119,3833.54224,3649.3457,3968.25366,10023
368,b'i06MC011303DBY',3.6104336,-73.45686,-0.06354658,1.043585,-0.7537885,0.9999998,0,0,1.1241196,0.016981458,0.018975416,0.023399763,0.021252714,0.02005227,0.008981828,0.018125009,0.0094673075,0.010683186,0.012733614,0.027496338,0.021957245,18.02196,17.804203,17.527882,17.549454,17.552109,17.700674,17.722633,17.895689,17.84386,18.15227,18.347256,18.322514,-0.2565803527832031,0.051828384399414,0.1261178819780835,0.1228752109212368,r â¤ 18,0.1801195000000035,unknown,,,i06MC011303DBY,i06MC011303DBY,,,,,,,,,,,,,3.6104336,-73.45686,i06MC011303DBY,i06MC011303DBY,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2565810000000006,0.0518290000000014,-0.121227000000001,-0.308410000000002,-0.5033960000000022,0.2177569999999988,0.2547490000000003,-0.1950150000000015,-0.021571999999999,-0.1949860000000001,-0.1730560000000025,-0.1485649999999978,4688649736429139072,0,4688649736429139072,10667.5107,6901.10791,19285.3594,7152.29395,5123.50049,9325.00293,10022
364,b'i06MC011302OH8',3.6423092,-73.61652,1.4797493,0.95121706,149.844,0.9998432,0,0,1.1942269,0.0028627375,0.0034628196,0.0044472655,0.0031790456,0.0029409404,0.0011163704,0.0019809667,0.0008190592,0.00095259235,0.00087665033,0.0014109929,0.0010290153,14.775492,14.593805,14.4228945,13.899773,13.856163,13.537987,13.349862,13.087681,13.034046,13.085584,12.967852,12.982619,0.0020971298217773,0.0536346435546875,0.0354865649472956,0.0106195096743236,r â¤ 18,0.0525865000000003,Star,UCAC4 082-000187,0.0,i06MC011302OH8,i06MC011302OH8,,,,,,,,,,,,,3.6423092,-73.61652,i06MC011302OH8,i06MC011302OH8,,,,,,,,,,,,,6,2,2,2,2,2,2,2,2,2,2,2,2,0.0020969999999991,0.0536349999999998,0.3158159999999999,-0.0515380000000007,0.0661939999999994,0.1816870000000001,0.694032,0.4503059999999994,0.5231215000000002,0.1177320000000001,0.262181,0.3181760000000011,4688597239044206848,0,4688597239044206848,661.01825,656.815063,665.825989,660.640503,656.445129,665.082703,10033
23869,b'i06MC009200RHC',3.7011473,-72.64441,1.7885697,1.1301717,150.59894,0.9998872,0,0,1.1992803,0.0028023762,0.0033565848,0.004481392,0.0032301126,0.0030014762,0.0011542373,0.0020199837,0.0008338851,0.000977067,0.0013722692,0.0014032677,0.00097260217,14.563893,14.438828,14.4358425,13.873894,13.851084,13.522852,13.352555,13.101041,13.037488,13.028646,12.921235,12.903558,0.0723943710327148,0.0635528564453125,0.0202842821354436,0.0112549759765697,r â¤ 18,0.0273555000000005,Star,UCAC4 087-000204,0.0,i06MC009200RHC,i06MC009200RHC,,,,,,,,,,,,,3.7011473,-72.64441,i06MC009200RHC,i06MC009200RHC,,,,,,,,,,,,,6,2,2,2,2,2,2,2,2,2,2,2,2,0.0723950000000002,0.0635530000000006,0.3150670000000009,0.0088419999999995,0.1162530000000003,0.1250649999999993,0.5649340000000009,0.4218109999999999,0.5619484999999997,0.1074110000000008,0.2515140000000002,0.3282319999999998,4689495093367372672,0,4689495093367372672,549.021729,544.554749,552.897461,549.009888,545.690979,552.611938,10033
14428,b'i06MC006900L24',4.1463723,-71.287384,1.557573,0.9884241,123.08413,0.9998199,0,0,1.1867398,0.0024967918,0.0028816748,0.0037381456,0.002834322,0.0026095752,0.0010507377,0.0018648794,0.0007958933,0.0009305042,0.00088906684,0.001358406,0.0009704935,14.325873,14.177999,14.1335335,13.66671,13.630084,13.403113,13.2579155,13.0864315,13.048775,13.063628,13.012064,13.06107,0.0228033065795898,0.0376567840576171,0.0121094190017206,0.0103726094756504,r â¤ 18,0.0262547499999996,unknown,,,i06MC006900L24,i06MC006900L24,16.084772842407226,14.883552436828612,14.375811866760255,14.14992555999756,13.962147941589354,15.698624324798583,15.61910331726074,14.983302757263182,14.904109607696531,14.695625984191896,14.2223482131958,13.981794040679931,4.1463723,-71.287384,i06MC006900L24,i06MC006900L24,,,26.32987756729126,25.90479553222656,26.33676879119873,25.970677505493164,26.78430863571167,,24.31056849288941,,,,4,0,4,0,0,0,0,0,0,0,0,0,0,0.0228035000000002,0.0376565000000006,0.2091405000000001,-0.0148530000000004,0.0367109999999986,0.1478739999999998,0.5112889999999997,0.3166814999999996,0.4668235000000003,0.051563999999999,0.1714839999999995,0.2269710000000007,4701919059365339904,0,4701919059365339904,632.004395,626.55304,636.624756,631.747986,626.858093,636.025574,10033
1673,b'i06MC013302U8R',4.419611,-74.369316,-0.042945184,0.9712613,-1.6595976,0.99999946,0,0,1.1709023,0.0039655534,0.005488647,0.0075303474,0.0069986954,0.0068041137,0.003131261,0.0061646346,0.003000751,0.003020119,0.003582135,0.007216296,0.005744182,15.234861,15.508098,15.446213,15.502016,15.503974,15.662313,15.64893,15.720905,15.437458,15.891535,16.1177,16.110167,-0.1706295013427734,0.283447265625,0.327022499641679,0.0365854928988177,r â¤ 18,0.3687620000000002,Star,2MASS J00174073-7422097,0.0,i06MC013302U8R,i06MC013302U8R,,,,,,,,,,,,,4.419611,-74.369316,i06MC013302U8R,i06MC013302U8R,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1706299999999991,0.2834470000000006,0.2114720000000005,-0.4540769999999998,-0.6802419999999998,-0.2732369999999999,0.006082000000001,-0.0585920000000008,-0.0558029999999991,-0.2261649999999999,-0.0719750000000001,-0.1583389999999997,4688405752228450176,0,4688405752228450176,24636.2539,16500.0645,32438.0117,22800.2129,18446.7402,26242.6816,10022
