,col1,id_x,ra,dec,parallax,gaia_ruwe,gaia_parallax_over_error,gaia_classprob_dsc_combmod_star,gaia_in_qso_candidates,gaia_in_galaxy_candidates,gaia_phot_bp_rp_excess_factor,err_mag_psf_u,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_g,err_mag_psf_j0515,err_mag_psf_r,err_mag_psf_j0660,err_mag_psf_i,err_mag_psf_j0861,err_mag_psf_z,mag_psf_u,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_g,mag_psf_j0515,mag_psf_r,mag_psf_j0660,mag_psf_i,mag_psf_j0861,mag_psf_z,ri,rJ0660,delta_Ha,thr,panel_label,excess,main_type,main_id,size_angle,splus_idr6_id,id_y,mu_max_u,mu_max_g,mu_max_r,mu_max_i,mu_max_z,mu_max_j0378,mu_max_j0395,mu_max_j0410,mu_max_j0430,mu_max_j0515,mu_max_j0660,mu_max_j0861,upload_ra,upload_dec,upload_splus_idr6_id,id,mu_background_g,mu_background_i,mu_background_j0378,mu_background_j0395,mu_background_j0410,mu_background_j0430,mu_background_j0515,mu_background_j0660,mu_background_j0861,mu_background_r,mu_background_u,mu_background_z,flags_det,flags_g,flags_i,flags_j0378,flags_j0395,flags_j0410,flags_j0430,flags_j0515,flags_j0660,flags_j0861,flags_r,flags_u,flags_z,r_i,r_j0660,j0515_j0660,j0660_i,j0660_j0861,u_j0378,j0378_j0410,g_r,j0395_j0410,i_j0861,j0515_r,j0430_g,gaia_source_id,flag_be_star_figueiredo,source_id,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag
0,15105,b'i06MC00450085A',2.0596972,-70.19888,-0.041086614,0.9837374,-1.5429462,0.9999996,0,0,1.1523159,0.004346132,0.005530896,0.00726195,0.0069184895,0.006695185,0.0031497462,0.0060485615,0.0031291004,0.003521249,0.0037884123,0.0073278057,0.0053445376,15.367463,15.426189,15.389524,15.338472,15.437773,15.540327,15.577019,15.79646,15.721819,16.030561,16.250149,16.247059,-0.2341012954711914,0.0746412277221679,0.1408979056215032,0.0402181962803309,r â¤ 18,0.1916914999999992,unknown,,,i06MC00450085A,i06MC00450085A,17.030946449279785,17.21244631576538,17.287832710266112,17.32660604095459,17.50557481765747,16.830854190826415,16.997433267593383,17.34580404472351,17.276428680419922,17.22019194793701,17.304125314712525,17.605360767364502,2.0596972,-70.19888,i06MC00450085A,i06MC00450085A,26.763470514297484,26.961930280685426,25.93196369552612,25.36364587402344,25.59152657699585,25.65704677581787,26.79048346710205,,,,25.812997535705566,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.234100999999999,0.0746409999999997,-0.1448,-0.3087419999999987,-0.5283300000000004,-0.058726,0.0877170000000013,-0.2561330000000001,0.0510520000000003,-0.2195880000000016,-0.2194409999999997,-0.1025539999999995,4702938581521835648,0,4702938581521835648,20300.3223,14841.9541,26906.7012,27678.4375,17190.8008,33119.957,10122
9,1673,b'i06MC013302U8R',4.419611,-74.369316,-0.042945184,0.9712613,-1.6595976,0.99999946,0,0,1.1709023,0.0039655534,0.005488647,0.0075303474,0.0069986954,0.0068041137,0.003131261,0.0061646346,0.003000751,0.003020119,0.003582135,0.007216296,0.005744182,15.234861,15.508098,15.446213,15.502016,15.503974,15.662313,15.64893,15.720905,15.437458,15.891535,16.1177,16.110167,-0.1706295013427734,0.283447265625,0.327022499641679,0.0365854928988177,r â¤ 18,0.3687620000000002,Star,2MASS J00174073-7422097,0.0,i06MC013302U8R,i06MC013302U8R,,,,,,,,,,,,,4.419611,-74.369316,i06MC013302U8R,i06MC013302U8R,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1706299999999991,0.2834470000000006,0.2114720000000005,-0.4540769999999998,-0.6802419999999998,-0.2732369999999999,0.006082000000001,-0.0585920000000008,-0.0558029999999991,-0.2261649999999999,-0.0719750000000001,-0.1583389999999997,4688405752228450176,0,4688405752228450176,24636.2539,16500.0645,32438.0117,22800.2129,18446.7402,26242.6816,10022
10,1684,b'i06MC01330428W',4.4206815,-74.08879,-0.13063502,1.0194767,-1.6191548,0.99999785,0,0,1.1423748,0.013460794,0.018486302,0.02508129,0.022318477,0.021969492,0.009702323,0.01971101,0.010217671,0.010553198,0.013618423,0.031033164,0.027585097,17.436142,17.757555,17.567497,17.52718,17.640764,17.752579,17.748539,17.897425,17.734993,18.066923,18.2867,18.266367,-0.1694984436035156,0.1624317169189453,0.2056027710476395,0.1271937758591211,r â¤ 18,0.2471810000000012,unknown,,,i06MC01330428W,i06MC01330428W,,,,,,,,,,,,,4.4206815,-74.08879,i06MC01330428W,i06MC01330428W,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1694980000000008,0.162431999999999,0.0135460000000016,-0.3319299999999998,-0.5517070000000004,-0.3214129999999997,0.2303749999999986,-0.1448459999999976,0.0403169999999981,-0.2197770000000005,-0.1488859999999974,-0.111815,4688463266128125824,0,4688463266128125824,11784.96,8740.82422,15196.2422,12209.3828,7984.17676,16049.0293,10022
11,322,b'i06MC011300C7H',4.420975,-74.08892,-0.13063502,1.0194767,-1.6191548,0.99999785,0,0,1.1423748,0.012757256,0.017965067,0.024556626,0.021764044,0.021040807,0.009676037,0.018926231,0.009744706,0.010459295,0.012465381,0.026421897,0.022502631,17.492662,17.685114,17.593641,17.537401,17.618393,17.773438,17.74674,17.880865,17.749569,18.05601,18.237408,18.28927,-0.1751441955566406,0.131296157836914,0.1764847034806759,0.1229827629984122,r â¤ 18,0.2188684999999992,unknown,,,i06MC011300C7H,i06MC011300C7H,,,,,,,,,,,,,4.420975,-74.08892,i06MC011300C7H,i06MC011300C7H,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1751450000000005,0.1312959999999989,-0.0028290000000019,-0.3064409999999995,-0.4878389999999974,-0.1924519999999994,0.1477129999999995,-0.1074270000000012,0.0562400000000025,-0.1813979999999979,-0.1341250000000009,-0.1550449999999976,4688463266128125824,0,4688463266128125824,11784.96,8740.82422,15196.2422,12209.3828,7984.17676,16049.0293,10022
13,375,b'i06MC011304SJS',4.838119,-73.146454,-0.010417885,1.0428342,-0.4283876,0.9999998,0,0,1.1463276,0.0040999237,0.0044834786,0.0059622084,0.005406447,0.005278826,0.00247916,0.0048519573,0.002555809,0.0030490523,0.0031969207,0.0059840474,0.004517298,15.3938055,15.098561,14.999686,14.999037,15.054145,15.233602,15.228216,15.434926,15.476884,15.722037,15.841277,15.855086,-0.2871112823486328,-0.0419578552246093,0.0432417729897652,0.0339110502778232,r â¤ 18,0.1015975000000004,unknown,,,i06MC011304SJS,i06MC011304SJS,,,,,,,,,,,,,4.838119,-73.146454,i06MC011304SJS,i06MC011304SJS,,,,,,,,,,,,,6,2,2,2,2,2,2,2,2,2,2,2,2,-0.2871109999999994,-0.0419579999999992,-0.2486680000000003,-0.2451530000000001,-0.3643929999999997,0.295244499999999,0.0995240000000006,-0.2013240000000014,0.000649000000001,-0.1192399999999995,-0.206710000000001,-0.1794569999999993,4688748559334975872,0,4688748559334975872,17331.3125,12863.5049,23738.2109,10546.9307,10067.7715,10956.916,10022
16,1674,b'i06MC013303DES',5.07101,-74.23968,-0.061007507,1.0528165,-0.8656926,0.9999989,0,0,1.14628,0.012691095,0.016738597,0.021675663,0.018966306,0.018824518,0.008344833,0.01722604,0.00880609,0.009251194,0.011781393,0.026727842,0.02305471,17.309467,17.496946,17.32239,17.295048,17.3545,17.507,17.532581,17.669012,17.530514,17.883186,18.11622,18.067379,-0.2141742706298828,0.138498306274414,0.1976341251860233,0.1104923678166199,r â¤ 18,0.2455849999999984,unknown,,,i06MC013303DES,i06MC013303DES,,,,,,,,,,,,,5.07101,-74.23968,i06MC013303DES,i06MC013303DES,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2141739999999998,0.1384979999999984,0.0020670000000002,-0.3526719999999983,-0.5857059999999983,-0.1874789999999997,0.2018979999999999,-0.1620119999999971,0.0273419999999973,-0.2330339999999999,-0.1364309999999982,-0.1524999999999998,4688408599784315392,0,4688408599784315392,9646.68848,7170.53027,14754.5957,10118.8838,8144.50195,12384.3545,10022
18,26177,b'i06MC011300WMM',5.0855246,-73.96841,-0.039711546,0.98017395,-0.493416,0.9999996,0,0,1.134546,0.015591423,0.020522948,0.026359193,0.024020629,0.022915702,0.01065107,0.021460786,0.011004841,0.011732959,0.0140370205,0.030557986,0.025629228,17.855566,17.936197,17.772535,17.747135,17.7819,17.962513,17.972946,18.103703,17.960958,18.260305,18.445013,18.46928,-0.1566028594970703,0.1427440643310547,0.181220910758697,0.1398296398798222,18 < r â¤ 19,0.2210459999999976,unknown,,,i06MC011300WMM,i06MC011300WMM,,,,,,,,,,,,,5.0855246,-73.96841,i06MC011300WMM,i06MC011300WMM,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1566019999999994,0.1427449999999979,0.0119879999999987,-0.2993469999999973,-0.4840549999999979,-0.0806310000000003,0.1890619999999998,-0.1411899999999981,0.0254000000000012,-0.1847080000000005,-0.1307569999999991,-0.180613000000001,4688465636950101376,0,4688465636950101376,9853.50488,6645.37451,17280.9961,10386.8477,6445.08789,13322.707,10022
23,1688,b'i06MC013304ACZ',5.288177,-74.045555,0.013885404,1.0673754,0.36021805,0.99999785,0,0,1.1736195,0.006925997,0.009399269,0.0129073905,0.011529495,0.011283566,0.0051037627,0.010026177,0.0049382015,0.005039608,0.0059941397,0.0123797525,0.010471457,16.218033,16.407438,16.369684,16.373188,16.433542,16.576551,16.542875,16.633572,16.399725,16.773457,16.96988,16.987093,-0.1398849487304687,0.2338466644287109,0.2664354302928985,0.0606553981312627,r â¤ 18,0.3037895000000006,unknown,,,i06MC013304ACZ,i06MC013304ACZ,,,,,,,,,,,,,5.288177,-74.045555,i06MC013304ACZ,i06MC013304ACZ,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1398849999999996,0.2338470000000008,0.1431499999999985,-0.3737320000000004,-0.5701549999999997,-0.1894050000000007,0.0342500000000001,-0.0570210000000024,-0.0035039999999995,-0.1964229999999993,-0.0906970000000022,-0.1430089999999992,4688420148958728960,0,4688420148958728960,10952.0928,8075.3877,14686.2432,10050.0342,8263.1582,14479.4775,10022
24,326,b'i06MC011300JSN',5.288488,-74.045685,0.013885404,1.0673754,0.36021805,0.99999785,0,0,1.1736195,0.0065449504,0.009072711,0.012541542,0.011491237,0.011130953,0.0051605585,0.01005828,0.0049853865,0.005113427,0.0059131407,0.011968784,0.0093592005,16.36324,16.45533,16.428549,16.433147,16.481146,16.6084,16.588017,16.67008,16.416195,16.797436,17.002008,17.00892,-0.1273555755615234,0.253885269165039,0.2819967033527134,0.0612613792450908,r â¤ 18,0.3175630000000033,unknown,,,i06MC011300JSN,i06MC011300JSN,,,,,,,,,,,,,5.288488,-74.045685,i06MC011300JSN,i06MC011300JSN,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.1273560000000024,0.2538850000000003,0.1718220000000023,-0.3812410000000028,-0.5858130000000017,-0.0920899999999989,0.0221829999999982,-0.061679999999999,-0.0045980000000014,-0.2045719999999988,-0.082062999999998,-0.1272540000000006,4688420148958728960,0,4688420148958728960,10952.0928,8075.3877,14686.2432,10050.0342,8263.1582,14479.4775,10022
26,1681,b'i06MC013303VJ2',5.388325,-74.126755,0.016292298,1.0053242,0.43082127,0.99999785,0,0,1.1591234,0.0075167324,0.009595084,0.012571171,0.011353273,0.011108605,0.0050558024,0.010144249,0.0050388477,0.0053119496,0.0063378257,0.013075912,0.010925955,16.387455,16.45666,16.327906,16.341116,16.38277,16.537994,16.552267,16.670626,16.503561,16.887337,17.069962,17.059454,-0.2167110443115234,0.1670646667480468,0.2271069936714939,0.0629810593236317,r â¤ 18,0.2754204999999992,unknown,,,i06MC013303VJ2,i06MC013303VJ2,,,,,,,,,,,,,5.388325,-74.126755,i06MC013303VJ2,i06MC013303VJ2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-0.2167110000000001,0.1670649999999973,0.0487059999999992,-0.3837759999999974,-0.566400999999999,-0.0692050000000001,0.1155439999999998,-0.1326319999999974,-0.0132100000000008,-0.1826250000000016,-0.1183589999999981,-0.1552240000000004,4688415853991449600,0,4688415853991449600,10677.2393,8762.28516,13812.6318,14759.1797,10110.4062,18767.0234,10122
